source,target,hits
"/2007/07/\"should-i-get-a-nonprofit-job",/2007/07/should-i-get-a-nonprofit-job/,0
/2007/12/vis-a-vis-viz-vis-a-vis-viz-/,/2007/12/vis-a-vis-viz-vis-a-vis-viz/,12
/2006/10/nonprofit-competition-&-concept-map/,/2006/10/nonprofit-competition-concept-map/,12
/2007/08/geekout:-video-on-maps-for-cable-access-tv/,/2007/08/geekout-video-on-maps-for-cable-access-tv/,45
/2009/10/growing-toward-the-omega-point/,/2009/10/obviously-not-to-scale/,325
/2009/10/a-crow-not-a-rogues-nest/,/2009/10/a-crow-but-not-a-rogues-nest/,98
/2009/10/a-crow-but-not-a-rogues-nest/,/2009/10/not-another-rogues-nest/,154
/2008/08/cleaving-running-reds-from-jaybiking-/,/2008/08/cleaving-running-reds-from-jaybiking/,42
/2008/08/cleaving-running-reds-from-jaybiking-/,/2008/08/cleaving-running-reds-from-jaybiking/,0
/2008/06/conference-notes:-managing-nonprofit-technology-projects-/,/2008/06/conference-notes-managing-nonprofit-technology-projects/,77
/2008/06/conference-notes:-managing-nonprofit-technology-projects-/,/2008/06/conference-notes-managing-nonprofit-technology-projects/,0
/2010/04/i-know-not-what-ive-done/,/2010/04/do-what-i-say/,18
/2010/08/wealth-procession/,/2010/08/wealth-parade/,222
/2010/11/goofus-gallant-mbas/,/2010/11/goofus-gallant-mba/,245
/2011/10/the-work-itself-isn%e2%80%99t-inhumane/,/2011/10/the-work-itself-isnt-inhumane/,46
/2012/11/reimagining-chicagos-311-activity-with-super-mayor-emanuel/,/2012/09/reimagining-chicagos-311-activity-with-super-mayor-emanuel/,4
/2009/01/hello-world/,,0
/2008/10/blog-action-day:-poverty/,/2008/10/blog-action-day-poverty/,14
/2008/08/radio-ga-ga-2:-the-role-of-nonprofits-in-constructing-a-better-world/,/2008/08/radio-ga-ga-2-the-role-of-nonprofits-in-constructing-a-better-world/,1
/2008/09/what-is-a-nonprofit,/2008/09/what-is-a-nonprofit-a-structural-definition/,0
/2008/09/why-are-nonprofits-tax-exempt,/2008/09/why-are-nonprofits-tax-exempt/,83
/2008/09/exploring-poverty:-participation-practice-imagination-and-exploration/,/2008/09/exploring-poverty-participation-practice-imagination-and-exploration/,0
/2008/10/small-government-/-small-paper/,/2008/10/small-government-small-paper/,123
/2008/07/job-qualification:-not-a-jerk/,/2008/07/job-qualification-not-a-jerk/,0
"/2008/08/drupal:-theme-override-for-upload-module\'s-attachments-list-/",/2008/08/drupal-theme-override-for-upload-modules-attachments-list/,0
/2008/08/are-you-ahw-or-arr,/2008/08/are-you-ahw-or-arr/,37
"/2008/10/buyer\'s-remorse-hacking/",/2008/10/buyers-remorse-hacking/,0
"/2008/11/when-\"good\"-is-better-than-\"best\"/",/2008/11/when-good-is-better-than-best/,0
/2008/10/community-organizer-=-community-outreach-minister/,/2008/10/community-organizer-equals-community-outreach-minister/,0
"/2008/06/other-words-for-\"lie\"/",/2008/06/other-words-for-lie/,0
"/2008/01/to-\"decimate\"/",/2008/01/to-decimate/,0
/2007/12/understanding-beliefs-(and-how-to-change-them)/,/2007/12/understanding-beliefs-and-how-to-change-them/,24
/2009/01/lorem-ipsum/,,21
/2008/03/capitalism-and-morality-(thai-beer-and-monks)/,/2008/03/capitalism-and-morality-thai-beer-and-monks/,1
/2008/07/facebook-to-phone-trees:-nonprofit-technology-for-everyone/,/2008/07/facebook-to-phone-trees-nonprofit-technology-for-everyone/,1
/2008/07/vegan-baking-tips:-egg-replacement-and-oil/,/2008/07/vegan-baking-tips-egg-replacement-and-oil/,28
/2008/01/2007-in-review-/,/2008/01/2007-in-review/,0
/2009/01/325/,/2009/01/2008-in-review/,147
/2006/09/radio-ga-ga:-discussing-americorp*vista-on-wuml/,/2006/09/radio-ga-ga-discussing-americorp-vista-on-wuml/,3
/2006/09/germania-st-,/2006/09/germania-st-2/,15
/2006/08/education-urinal-=-,/2006/08/education-urinal/,0
/2006/10/travel:-amherst/,/2006/10/travel-amherst/,1
/2006/10/germania-st-,/2006/10/germania-st-3/,16
/2006/10/boston-obscura:-a-halloween-story/,/2006/10/boston-obscura-a-halloween-story/,6
"/2007/01/boston\'s-best-tacos/",/2007/01/bostons-best-tacos/,0
"/2006/12/meetamericorps-is-\"social-networking\"!/",/2006/12/meetamericorps-is-social-networking/,0
"/2007/03/arguments-i\'ve-heard-against-open-source/",/2007/03/arguments-ive-heard-against-open-source/,0
"/2007/03/but-it\'s-just-a-logo/",/2007/03/but-its-just-a-logo/,3
/2005/12/word-of-the-day:-cankle/,/2005/12/word-of-the-day-cankle/,4
/files/island94.org/(.*),"/wp-content/uploads/2008_oldfiles/\1",655525
